Input	Input Type	MGI Gene/Marker ID	Chr	Strand	Start	End	Ensembl ID
0610007P14Rik	old symbol	MGI:1915571	12	-	85862222	85871324	ENSMUSG00000021252
0610009B22Rik	old symbol	MGI:1913300	11	-	51576213	51579701	ENSMUSG00000007777
0610009O20Rik	old symbol	MGI:1914089	18	+	38383302	38395682	ENSMUSG00000024442
0610010F05Rik	old symbol	MGI:1918925	11	-	23514961	23583639	ENSMUSG00000042208
0610012G03Rik	old symbol	MGI:1913301	16	-	31765868	31767312	ENSMUSG00000107002
0610031J06Rik	old symbol	MGI:1913318	3	+	88232330	88235938	ENSMUSG00000001418
1110002L01Rik	current symbol	MGI:1915821	12	-	3453883	3476747	ENSMUSG00000071456
1110004E09Rik	old symbol	MGI:1915251	16	-	90722697	90732002	ENSMUSG00000022972
1110007C09Rik	old symbol	MGI:1915730	13	-	49356426	49369471	ENSMUSG00000037960
1110032A03Rik	old symbol	MGI:1915971	9	-	50672674	50679536	ENSMUSG00000037971
1110037F02Rik	old symbol	MGI:1913435	4	+	11485958	11550684	ENSMUSG00000040720
1110038B12Rik	current symbol	MGI:1916013	17	-	35169211	35171447	ENSMUSG00000092203
1110038F14Rik	current symbol	MGI:2152337	15	+	76832706	76835179	ENSMUSG00000063236
1110051M20Rik	old symbol	MGI:1915079	2	-	91105413	91275049	ENSMUSG00000040591
1110057K04Rik	old symbol	MGI:1916082	12	+	8258107	8335759	ENSMUSG00000037669
1110058L19Rik	old symbol	MGI:1915252	1	-	24035020	24044721	ENSMUSG00000026154
1110059E24Rik	current symbol	MGI:1913456	19	-	21574677	21630155	ENSMUSG00000035171
1110059G10Rik	current symbol	MGI:1913452	9	-	122774154	122780065	ENSMUSG00000032551
1300002E11Rik	current symbol	MGI:1919001	16	+	21613097	21627790	ENSMUSG00000097290
1500009L16Rik	current symbol	MGI:1917034	10	+	83558729	83598626	ENSMUSG00000087651
1500011B03Rik	current symbol	MGI:1913486	5	-	114946257	114952037	ENSMUSG00000072694
1500012F01Rik	old symbol	MGI:1916199	2	+	166904854	166907782	ENSMUSG00000074578
1500015A07Rik	current symbol	MGI:1916232	18	+	61859461	61861325	ENSMUSG00000098702
1600012H06Rik	current symbol	MGI:1915162	17	+	15163446	15166201	ENSMUSG00000050088
1700001G11Rik	current symbol	MGI:1916553	14	-	66532776	66534578	ENSMUSG00000085984
1700003M07Rik	current symbol	MGI:1919475	4	+	129854167	129858931	ENSMUSG00000085389
1700012B09Rik	current symbol	MGI:1916575	9	-	14667883	14682326	ENSMUSG00000031927
1700017B05Rik	current symbol	MGI:1921461	9	-	57160400	57169895	ENSMUSG00000032300
1700020I14Rik	old symbol	MGI:1913852	2	+	119424777	119431227	ENSMUSG00000085438
1700021F05Rik	old symbol	MGI:1915101	10	-	43401129	43416990	ENSMUSG00000019797
1700021K19Rik	old symbol	MGI:1915160	16	-	32642072	32698121	ENSMUSG00000035629
1700025G04Rik	current symbol	MGI:1916649	1	-	151760275	151967941	ENSMUSG00000032666
1700026L06Rik	old symbol	MGI:1917237	2	-	28582092	28589663	ENSMUSG00000026809
